No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
"Bienemann ""Livl. Sagenbuch"" 166, 206. ","Bienemann Friedrich ""Livländisches sagenbuch""",BF,apkopojums,,,,,,
"Bienemann ""Livl. Sagenbuch"", 7, 9.","Bienemann Friedrich ""Livländisches sagenbuch""",BF,apkopojums,1897,,,,,
"Bienemann ""Livländ. Sagenbuch."", 144, 182.","Bienemann Friedrich ""Livländisches sagenbuch""",BF,apkopojums,1897,,,,,
